Longitude,Latitude,city,SIC2,SIC3
111.3548749,30.79568223,4205,39,392
110.6287946,32.07987264,4203,36,366
115.6258338,30.01561431,4211,20,203
110.8012289,32.63699434,4203,26,266
112.4105622,31.20931625,4209,19,193
115.7026833,30.73034995,4211,19,195
112.4105622,31.20931625,4290,17,178
114.895594,30.38443932,4207,33,339
118.6509427,40.60032022,1308,81,810
121.8324978,29.90530998,3307,26,266
120.9405415,30.81191195,3304,29,292
120.8253934,30.48086213,3304,29,292
121.7377531,42.00945236,2109,35,351
121.6608221,42.01925011,2109,61,610
122.2333914,40.66865107,2108,37,373
122.4741732,42.52375444,2109,30,302
116.1662718,33.15737576,3416,20,203
116.5181298,34.5176548,3413,17,171
117.2160052,31.85925242,3412,35,357
118.3841084,31.36601979,3402,21,214
116.2535184,30.10821664,3408,18,181
112.2348073,25.89052739,4311,20,201
113.4685221,25.93718441,4310,21,211
114.0491535,32.98315815,4117,29,292
101.5563073,34.51138974,4107,26,262
104.395862,31.13403969,5117,19,195
106.0780931,31.60211735,5113,30,302
116.5686691,25.12652614,3508,18,182
119.1272252,25.59229641,3507,34,342
118.2996168,27.01853225,3507,20,204
114.0259737,22.54605355,4403,19,192
114.0259737,22.54605355,4403,39,392
118.5276634,36.09928993,3708,26,265
117.6846669,36.23365413,3712,38,384
118.5276634,36.09928993,3704,45,450
114.1617018,39.76899448,1402,30,301
128.0474137,47.35659164,2301,35,357
115.6760824,27.75725844,3607,21,211
114.5223427,24.8532328,3607,38,385
114.3705893,26.34426855,3608,17,171
115.6760824,27.75725844,3603,18,182
115.6760824,27.75725844,3610,32,326
117.0144127,28.70323641,3611,18,181
114.3705893,26.34426855,3608,17,171
114.9920387,27.11384765,3608,18,183
108.8068082,28.90527766,5002,17,178
124.5717468,47.66582009,5001,39,391
115.2198909,41.02605972,1307,81,810
114.8835533,37.65051976,1305,34,344
119.0037346,33.56296284,3208,30,309
120.1386447,32.74659448,3212,33,334
121.1083081,31.96608157,3206,17,177
113.763434,23.04302382,4419,33,334
113.1340256,23.03509484,4406,21,219
102.7557532,24.36748773,5304,22,223
106.716833,26.60055387,5203,13,139
123.4327909,41.80864478,2101,91,911
111.1271915,34.56131152,4117,14,149
112.7696991,34.92588439,4108,33,335
120.1929428,36.86967451,3702,30,309
120.3844282,36.1052149,3702,13,137
120.3844282,36.1052149,3702,13,137
125.8497312,46.00930592,2312,13,131
121.6859495,30.92859026,3101,19,192
93.52937301,42.3444671,6522,81,810
122.2603633,43.63375607,1505,23,231
116.3429532,35.9751609,3709,30,303
118.7780744,32.0572355,3201,39,396
113.1250268,28.80195809,4306,30,309
112.4105622,31.20931625,4290,13,137
112.4105622,31.20931625,4203,36,361
112.768768,30.34311579,4290,13,131
112.2500928,32.22916859,4206,30,309
112.2500928,32.22916859,4206,36,366
112.4105622,31.20931625,4209,23,231
115.5299482,38.86143128,1306,33,331
116.574306,39.10932008,1310,36,366
117.2202968,39.17314893,1301,29,292
118.7165124,40.52931338,1308,81,810
102.8991597,30.36748094,5106,26,262
105.0283158,30.31394464,5120,17,178
102.3247079,27.87478664,5106,30,303
103.4009123,29.50700404,5111,14,149
105.8196869,32.44104016,5108,13,135
116.7943452,33.96993285,5108,20,201
121.1527792,29.99645672,3302,38,385
118.103886,24.48923061,3502,39,392
119.077731,25.44845014,3503,19,195
116.7914474,33.96002331,3406,35,351
117.2160052,31.85925242,3413,18,181
116.9886924,33.63677239,3413,17,171
115.2484614,32.90976941,3412,29,292
114.4106581,23.11353985,4413,10,101
111.6199376,23.0436332,4453,30,303
119.692477,31.39939074,3202,32,326
119.3024218,33.27157522,3210,34,346
118.3441215,34.28444274,3203,20,201
119.3927752,34.40683217,3207,17,172
119.3684889,33.01379717,3213,17,178
120.1488718,33.37986188,3209,24,243
120.0142601,31.93026579,3204,34,341
113.2118359,35.23460755,4108,29,292
114.8431619,31.94143172,4115,30,303
115.6688382,31.96742394,4115,18,183
114.9817998,25.28601834,3607,39,393
115.6760824,27.75725844,3610,24,245
116.0912254,37.24398251,3714,30,306
118.2972794,34.96434309,3713,26,261
